cohort,schoolid_ulcs,schoolname,sector,rate_type,group,subgroup,denom,num,score,fscore
2010-2011,1190,Motivation High School,District,5-Year Graduation Rate,Gender,Female,22,22,100,100.0
2010-2011,1190,Motivation High School,District,5-Year Graduation Rate,Gender,Male,21,19,90.48,90.48
2010-2011,1190,Motivation High School,District,6-Year Graduation Rate,All Students,All Students,43,41,95.35,95.35
2010-2011,1190,Motivation High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,28,27,96.43,96.43
2010-2011,1190,Motivation High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,15,14,93.33,93.33
2010-2011,1190,Motivation High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,38,37,97.37,97.37
2010-2011,1190,Motivation High School,District,6-Year Graduation Rate,Gender,Female,22,22,100,100.0
2010-2011,1190,Motivation High School,District,6-Year Graduation Rate,Gender,Male,21,19,90.48,90.48
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,All Students,All Students,330,212,64.24,64.24
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,229,148,64.63,64.63
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,101,64,63.37,63.37
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,ELL,EL,87,60,68.97,68.97
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,ELL,Non-EL,243,152,62.55,62.55
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,Ethnicity,Asian,82,55,67.07,67.07
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,204,140,68.63,68.63
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,Ethnicity,White,27,8,29.63,29.63
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,Gender,Female,132,94,71.21,71.21
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,Gender,Male,198,118,59.6,59.6
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,259,182,70.27,70.27
2010-2011,2000,South Philadelphia High School,District,4-Year Graduation Rate,IEP,Has IEP,71,30,42.25,42.25
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,All Students,All Students,322,224,69.57,69.57
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,223,158,70.85,70.85
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,99,66,66.67,66.67
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,ELL,EL,87,62,71.26,71.26
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,ELL,Non-EL,235,162,68.94,68.94
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,Ethnicity,Asian,81,57,70.37,70.37
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,199,149,74.87,74.87
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,Ethnicity,White,26,9,34.62,34.62
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,Gender,Female,130,97,74.62,74.62
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,Gender,Male,192,127,66.15,66.15
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,255,190,74.51,74.51
2010-2011,2000,South Philadelphia High School,District,5-Year Graduation Rate,IEP,Has IEP,67,34,50.75,50.75
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,All Students,All Students,317,225,70.98,70.98
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,218,159,72.94,72.94
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,99,66,66.67,66.67
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,ELL,EL,87,62,71.26,71.26
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,ELL,Non-EL,230,163,70.87,70.87
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,Ethnicity,Asian,81,57,70.37,70.37
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,194,150,77.32,77.32
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,Ethnicity,White,26,9,34.62,34.62
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,Gender,Female,128,97,75.78,75.78
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,Gender,Male,189,128,67.72,67.72
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,254,190,74.8,74.8
2010-2011,2000,South Philadelphia High School,District,6-Year Graduation Rate,IEP,Has IEP,63,35,55.56,55.56
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,All Students,All Students,193,116,60.1,60.1
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,154,93,60.39,60.39
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,39,23,58.97,58.97
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,ELL,EL,30,22,73.33,73.33
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,ELL,Non-EL,163,94,57.67,57.67
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,Ethnicity,Asian,14,7,50,50.0
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,159,95,59.75,59.75
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,15,10,66.67,66.67
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,Gender,Female,98,68,69.39,69.39
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,Gender,Male,95,48,50.53,50.53
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,147,94,63.95,63.95
2010-2011,2010,Benjamin Franklin High School,District,4-Year Graduation Rate,IEP,Has IEP,46,22,47.83,47.83
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,All Students,All Students,183,123,67.21,67.21
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,143,98,68.53,68.53
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,40,25,62.5,62.5
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,ELL,EL,30,24,80,80.0
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,ELL,Non-EL,153,99,64.71,64.71
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,Ethnicity,Asian,14,9,64.29,64.29
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,150,100,66.67,66.67
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,15,10,66.67,66.67
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,Gender,Female,94,70,74.47,74.47
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,Gender,Male,89,53,59.55,59.55
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,137,99,72.26,72.26
2010-2011,2010,Benjamin Franklin High School,District,5-Year Graduation Rate,IEP,Has IEP,46,24,52.17,52.17
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,All Students,All Students,178,124,69.66,69.66
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,139,99,71.22,71.22
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,39,25,64.1,64.1
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,ELL,EL,30,24,80,80.0
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,ELL,Non-EL,148,100,67.57,67.57
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,Ethnicity,Asian,14,9,64.29,64.29
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,145,101,69.66,69.66
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,15,10,66.67,66.67
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,Gender,Female,91,70,76.92,76.92
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,Gender,Male,87,54,62.07,62.07
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,135,99,73.33,73.33
2010-2011,2010,Benjamin Franklin High School,District,6-Year Graduation Rate,IEP,Has IEP,43,25,58.14,58.14
2010-2011,2020,High School for Creative and Performing Arts,District,4-Year Graduation Rate,All Students,All Students,177,161,90.96,90.96
2010-2011,2020,High School for Creative and Performing Arts,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,72,64,88.89,88.89
2010-2011,2020,High School for Creative and Performing Arts,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,105,97,92.38,92.38
2010-2011,2020,High School for Creative and Performing Arts,District,4-Year Graduation Rate,Ethnicity,Black/African American,104,95,91.35,91.35
2010-2011,2020,High School for Creative and Performing Arts,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,15,14,93.33,93.33
2010-2011,2020,High School for Creative and Performing Arts,District,4-Year Graduation Rate,Ethnicity,White,45,41,91.11,91.11
2010-2011,2020,High School for Creative and Performing Arts,District,4-Year Graduation Rate,Gender,Female,126,117,92.86,92.86
2010-2011,2020,High School for Creative and Performing Arts,District,4-Year Graduation Rate,Gender,Male,51,44,86.27,86.27
2010-2011,2020,High School for Creative and Performing Arts,District,4-Year Graduation Rate,IEP,Does Not Have IEP,162,150,92.59,92.59
2010-2011,2020,High School for Creative and Performing Arts,District,4-Year Graduation Rate,IEP,Has IEP,15,11,73.33,73.33
2010-2011,2020,High School for Creative and Performing Arts,District,5-Year Graduation Rate,All Students,All Students,173,161,93.06,93.06
2010-2011,2020,High School for Creative and Performing Arts,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,70,64,91.43,91.43
2010-2011,2020,High School for Creative and Performing Arts,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,103,97,94.17,94.17
