time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1954-01-02T03:25:00.000Z,36.6,-83.7,,4.3,fa,,,,,ushis,ushis1908,2018-06-04T20:43:44.000Z,"1 km ESE of Middlesboro, Kentucky",earthquake,,,,,reviewed,ushis,sc
1956-09-07T13:35:50.800Z,36.445,-83.787,5,4.1,fa,,,,,ushis,ushis2101,2018-06-04T20:43:44.000Z,"16 km W of New Tazewell, Tennessee",earthquake,,,,,reviewed,ushis,sc
1957-03-23T19:02:31.000Z,40.6,-74.8,10,3.8,fa,,,,,ushis,ushis2197,2018-06-04T20:43:44.000Z,"3 km SW of Whitehouse Station, New Jersey",earthquake,,,,,reviewed,ushis,sc
1957-04-26T11:40:08.600Z,43.535,-70.255,5,4.42,mw,,,,,ushis,ushis2227,2018-06-04T20:43:44.000Z,"7 km SE of Scarborough, Maine",earthquake,,,,,reviewed,ushis,st
1957-05-13T14:24:51.100Z,35.799,-82.142,5,4,fa,,,,,ushis,ushis2232,2018-06-04T20:43:44.000Z,"14 km SSW of Spruce Pine, North Carolina",earthquake,,,,,reviewed,ushis,sc
1957-07-02T09:33:01.000Z,35.6,-82.7,7,3.7,fa,,,,,ushis,ushis2246,2018-06-04T20:43:44.000Z,"11 km WSW of Woodfin, North Carolina",earthquake,,,,,reviewed,ushis,sc
1957-11-24T20:06:17.000Z,35,-83.5,,3.9,fa,,,,,ushis,ushis2273,2018-06-04T20:43:44.000Z,"5 km ENE of Tate City, Georgia",earthquake,,,,,reviewed,ushis,sc
1959-04-23T20:58:39.500Z,37.395,-80.682,1,3.9,fa,,,,,ushis,ushis2369,2018-06-04T20:43:45.000Z,"9 km NNE of Pearisburg, Virginia",earthquake,,,,,reviewed,ushis,sc
1959-08-03T06:08:36.800Z,33.054,-80.126,1,4.4,fa,,,,,ushis,ushis2389,2018-06-04T20:43:45.000Z,"2 km N of Sangaree, South Carolina",earthquake,,,,,reviewed,ushis,dg
1959-10-27T02:07:28.000Z,34.5,-80.2,,3.9,fa,,,,,ushis,ushis2418,2018-06-04T20:43:45.000Z,"6 km NE of McBee, South Carolina",earthquake,,,,,reviewed,ushis,sc
1963-10-16T15:30:59.700Z,42.401,-70.422,14,3.41,mw,,,,,ushis,ushis2628,2018-06-04T20:43:45.000Z,"30 km SE of Gloucester, Massachusetts",earthquake,,,,,reviewed,ushis,st
1963-10-30T22:36:57.900Z,42.7,-70.8,,2.59,mw,,,,,ushis,ushis2631,2018-06-04T20:43:45.000Z,"4 km NE of Ipswich, Massachusetts",earthquake,,,,,reviewed,ushis,st
1964-05-12T06:45:10.700Z,40.298,-76.411,1,4.5,mb,,,,,ushis,ushis2703,2020-04-16T21:22:45.895Z,"2 km N of Cornwall, Pennsylvania",earthquake,,,,,reviewed,ushis,us
1964-06-26T11:04:49.000Z,43.405,-71.68,1,3.2,lg,,,,,ushis,ushis2709,2018-06-04T20:43:45.000Z,"4 km NE of Salisbury, New Hampshire",earthquake,,,,,reviewed,ushis,dg
1966-01-01T13:23:39.000Z,42.842,-78.249,,4.27,mw,,,,,ushis,ushis2873,2020-04-16T21:18:48.644Z,"3 km SE of Attica, New York",earthquake,,,,,reviewed,ushis,hrn
1967-06-13T19:08:55.500Z,42.837,-78.234,1,4.08,mw,,,,,ushis,ushis2959,2018-06-04T20:43:45.000Z,"4 km SE of Attica, New York",earthquake,,,,,reviewed,ushis,hrn
1969-11-20T01:00:09.300Z,37.449,-80.932,3,4.54,mw,,,,,ushis,ushis3082,2020-04-16T21:08:50.846Z,"8 km ENE of Athens, West Virginia",earthquake,,,,,reviewed,ushis,hrn
1971-07-13T11:42:26.000Z,34.76,-82.98,,3.7,lg,,,,,ushis,ushis3164,2018-06-04T20:43:45.000Z,"5 km E of West Union, South Carolina",earthquake,,,,,reviewed,ushis,gb
1972-02-03T23:11:09.700Z,33.306,-80.582,2,4.36,mw,,,,,ushis,ushis3183,2020-04-16T21:01:08.048Z,"10 km ESE of Bowman, South Carolina",earthquake,,,,,reviewed,ushis,hrm
1973-02-28T08:21:32.300Z,39.718,-75.441,14,3.8,lg,,,,,us,usp00000s4,2014-11-06T23:21:09.611Z,"2 km ENE of Carneys Point, New Jersey",earthquake,,,,,reviewed,s,slm
1973-06-15T01:09:04.200Z,45.317,-70.908,12,4.8,mb,,,,,us,usp000025v,2020-04-16T20:56:52.431Z,"29 km S of Lac-Mégantic, Canada",earthquake,,,,,reviewed,s,us
1973-07-15T10:32:37.700Z,43.9,-74.412,1,3.4,mb,,,,,us,usp00002qn,2014-11-06T23:21:14.828Z,"8 km S of Long Lake, New York",earthquake,,,,,reviewed,s,us
1973-10-30T22:58:39.000Z,35.75,-84,33,3.4,lg,,,,,us,usp0000406,2014-11-06T23:21:21.092Z,"2 km WSW of Maryville, Tennessee",earthquake,,,,,reviewed,m,gs
1973-11-30T07:48:41.200Z,35.799,-83.962,3,4.7,mb,,,,,us,usp00004c7,2020-07-10T19:57:44.872Z,"1 km NE of Alcoa, Tennessee",earthquake,,,,,reviewed,s,us
1974-03-23T09:46:33.800Z,38.917,-77.78,2,2.5,lg,,,,,us,usp00005q5,2014-11-06T23:21:23.420Z,"Virginia",earthquake,,,,,reviewed,v,bla
1974-04-27T14:45:39.100Z,41.004,-75.955,3,3,mb,,,,,us,usp0000644,2014-11-06T23:21:23.962Z,"0 km ENE of Pardeesville, Pennsylvania",earthquake,,,,,reviewed,s,us
1974-05-30T21:28:37.200Z,37.382,-80.419,8,3.6,lg,,,,,us,usp00006jz,2014-11-06T23:21:24.462Z,"16 km N of Blacksburg, Virginia",earthquake,,,,,reviewed,s,bla
1974-06-05T00:16:40.400Z,38.6,-84.77,15,3.2,lg,,,,,us,usp00006n0,2014-11-06T23:21:24.540Z,"8 km ESE of Bromley, Kentucky",earthquake,,,,,reviewed,j,slm
1974-06-07T19:45:36.800Z,41.571,-73.94,2,3.3,ml,,,,,us,usp00006p4,2018-06-04T20:43:45.000Z,"3 km SW of Wappingers Falls, New York",earthquake,,,,,reviewed,l,pal
1974-08-02T08:52:09.800Z,33.872,-82.488,1,4.3,mb,,,,,us,usp00007ez,2020-08-25T23:51:01.854Z,"8 km N of Lincolnton, Georgia",earthquake,,,,,reviewed,s,us
1974-09-29T02:26:17.100Z,41.238,-83.361,1,3,lg,,,,,us,usp000086y,2014-11-06T23:21:26.599Z,"6 km ESE of Risingsun, Ohio",earthquake,,,,,reviewed,s,slm
1974-10-01T06:36:21.000Z,41.7,-71.5,,2.5,ml,,,,,us,usp000087u,2014-11-06T23:21:26.629Z,"1 km E of West Warwick, Rhode Island",earthquake,,,,,reviewed,c,san
1974-10-20T15:13:55.100Z,39.095,-81.593,11,3.4,lg,,,,,us,usp00008g9,2014-11-06T23:21:26.936Z,"11 km SSW of Mineral Wells, West Virginia",earthquake,,,,,reviewed,s,slm
1974-10-28T11:33:00.000Z,33.79,-81.92,,3,ml,,,,,us,usp00008kh,2014-11-06T23:21:27.052Z,"0 km E of Edgefield, South Carolina",earthquake,,,,,reviewed,m,csc
1974-11-05T03:00:00.000Z,33.73,-82.22,,3.7,ml,,,,,us,usp00008pg,2014-11-06T23:21:27.157Z,"1 km WSW of Modoc, South Carolina",earthquake,,,,,reviewed,m,csc
1974-11-22T05:25:55.500Z,32.9,-80.145,18,4.7,mb,,,,,us,usp00008vm,2020-08-26T00:01:37.153Z,"10 km SSW of Ladson, South Carolina",earthquake,,,,,reviewed,s,us
1974-12-03T08:25:00.000Z,33.95,-82.5,,3.6,ml,,,,,us,usp00008zm,2014-11-06T23:21:27.653Z,"3 km SW of Willington, South Carolina",earthquake,,,,,reviewed,m,csc
1975-02-16T23:21:31.500Z,39.05,-82.422,5,3.3,lg,,,,,us,usp00009y1,2014-11-06T23:21:28.897Z,"8 km WSW of Wilkesville, Ohio",earthquake,,,,,reviewed,us,slm
1975-05-02T16:22:58.700Z,35.921,-84.446,15,2.6,lg,,,,,us,usp0000aw0,2014-11-06T23:21:30.150Z,"7 km NE of Kingston, Tennessee",earthquake,,,,,reviewed,us,slm
1975-06-09T18:39:23.300Z,44.896,-73.574,10,4.2,lg,,,,,us,usp0000bd0,2018-06-04T20:43:45.000Z,"6 km E of Altona, New York",earthquake,,,,,reviewed,l,pal
1975-11-03T20:54:55.900Z,43.894,-74.636,3,4,mb,,,,,us,usp0000de4,2014-11-06T23:21:32.486Z,"19 km WSW of Long Lake, New York",earthquake,,,,,reviewed,l,us
1975-11-11T08:10:39.300Z,37.193,-80.839,15,3.2,lg,,,,,us,usp0000dh6,2018-06-04T20:43:45.000Z,"15 km S of Narrows, Virginia",earthquake,,,,,reviewed,us,slm
1975-11-25T15:17:33.700Z,34.873,-82.958,5,3.2,lg,,,,,us,usp0000dqj,2014-11-06T23:21:32.804Z,"2 km SE of Salem, South Carolina",earthquake,,,,,reviewed,us,slm
1976-01-19T06:20:39.500Z,36.883,-83.825,5,4,mb,,,,,us,usp0000ejd,2020-08-26T00:46:39.934Z,"5 km NNE of Artemus, Kentucky",earthquake,,,,,reviewed,us,us
1976-01-30T18:58:49.800Z,39.683,-78.17,15,2.8,lg,,,,,us,usp0000eu9,2014-11-06T23:21:33.818Z,"1 km SSE of Hancock, Maryland",earthquake,,,,,reviewed,us,bla
1976-02-02T21:14:02.000Z,41.96,-82.67,10,3.4,lg,,,,,us,usp0000ew9,2014-11-06T23:21:33.937Z,"11 km SSW of Leamington, Canada",earthquake,,,,,reviewed,c,ott
1976-03-11T08:29:32.200Z,41.56,-71.21,0,3.5,lg,,,,,us,usp0000fd9,2020-09-18T23:07:33.212Z,"5 km SE of Portsmouth, Rhode Island",earthquake,,,,,reviewed,c,apt
1976-03-14T23:12:24.600Z,41.66,-69.97,0,3,lg,,,,,us,usp0000ff8,2014-11-06T23:21:34.374Z,"2 km SSW of Chatham, Massachusetts",earthquake,,,,,reviewed,c,apt
1976-04-13T15:39:12.900Z,40.8,-74.03,0,3.1,,,,,,us,usp0000fvc,2018-06-04T20:43:45.000Z,"1 km WSW of North Bergen, New Jersey",earthquake,,,,,reviewed,p,pal
1976-05-10T01:34:20.500Z,41.54,-71.01,0,2.7,,,,,,us,usp0000g8n,2014-11-06T23:21:35.116Z,"9 km SW of Bliss Corner, Massachusetts",earthquake,,,,,reviewed,c,apt
1976-06-19T05:54:13.900Z,37.362,-81.624,5,4.7,mb,,,,,us,usp0000gyg,2020-08-26T01:02:35.864Z,"West Virginia",earthquake,,,,,reviewed,us,us
1976-07-13T03:51:14.000Z,45.175,-74.096,0,2.9,lg,,,,,us,usp0000has,2014-11-06T23:21:36.187Z,"8 km SSE of Salaberry-de-Valleyfield, Canada",earthquake,,,,,reviewed,l,pal
1976-09-13T18:54:37.100Z,36.604,-80.81,5,3.3,lg,,,,,us,usp0000jcs,2020-09-18T23:07:43.117Z,"10 km NNE of Lowgap, North Carolina",earthquake,,,,,reviewed,us,bla
1976-12-27T06:57:13.900Z,32.223,-82.463,5,3.7,lg,,,,,us,usp0000kyn,2014-11-06T23:21:39.118Z,"0 km NNE of Higgston, Georgia",earthquake,,,,,reviewed,us,bla
1977-01-18T18:29:13.500Z,33.069,-80.199,5,3,lg,,,,,us,usp0000m83,2018-06-04T20:43:45.000Z,"6 km NNW of Summerville, South Carolina",earthquake,,,,,reviewed,us,bla
1977-06-17T15:39:47.300Z,40.707,-84.582,5,3.2,,,,,,us,usp0000pba,2020-09-18T23:07:51.253Z,"5 km ENE of Rockford, Ohio",earthquake,,,,,reviewed,us,aam
1977-07-14T07:39:30.000Z,46.03,-74.4,10,3.8,,,,,,us,usp0000pqn,2014-11-06T23:21:42.960Z,"8 km NW of Saint-Adolphe-d'Howard, Canada",earthquake,,,,,reviewed,c,ott
1977-07-27T22:03:21.200Z,35.389,-84.356,12.6,3.5,mb_lg,,67,0.52161,0.3,se,se60001,2022-06-28T13:41:42.919Z,"6 km WNW of Tellico Plains, Tennessee",earthquake,,3,,,reviewed,se,us
1977-08-25T04:20:07.000Z,33.383,-80.693,7,2.9,md,,,,0.1,se,se60003,2022-06-28T13:41:54.274Z,"3 km NNW of Bowman, South Carolina",earthquake,,1.2,,,reviewed,us,us
1977-09-25T06:22:37.800Z,36.004,-82.678,5,2.5,mb_lg,,143,1.93354,0.2,se,se60005,2022-06-28T13:42:00.125Z,"18 km NE of Hot Springs, North Carolina",earthquake,,24.6,,,reviewed,se,us
1977-09-28T17:21:44.700Z,44.387,-73.889,3,3.1,,,,,,us,usp0000quc,2014-11-06T23:21:44.385Z,"5 km W of Wilmington, New York",earthquake,,,,,reviewed,l,pal
1977-10-23T07:51:41.000Z,36.932,-82.134,10,2.8,mb_lg,,191,1.14214,0.1,se,se60006,2022-06-28T13:42:06.362Z,"2 km SE of Cleveland, Virginia",earthquake,,9,,,reviewed,se,us
1977-11-07T20:48:52.000Z,46.34,-75.2,18,3.4,,,,,,us,usp0000rdt,2014-11-06T23:21:45.122Z,"22 km WNW of La Minerve, Canada",earthquake,,,,,reviewed,c,ott
1977-12-15T19:16:43.200Z,32.945,-80.17,8,2.6,md,,,,0.1,se,se60009,2022-06-28T13:42:10.529Z,"5 km S of Centerville, South Carolina",earthquake,,0.6,,,reviewed,us,us
1977-12-20T17:44:23.400Z,41.84,-70.7,0,3.1,,,,,,us,usp0000s5r,2014-11-06T23:21:46.046Z,"7 km NW of White Island Shores, Massachusetts",earthquake,,,,,reviewed,t,wes
1977-12-25T15:35:53.500Z,43.196,-71.692,0,3.2,,,,,,us,usp0000s7w,2019-05-01T20:53:40.623Z,"1 km WNW of Hopkinton, New Hampshire",earthquake,,,,,reviewed,t,wes
1978-01-04T19:28:10.800Z,44.04,-70.509,0,3.2,,,,,,us,usp0000sc2,2014-11-06T23:21:46.248Z,"3 km NNE of Casco, Maine",earthquake,,,,,reviewed,t,pal
1978-01-25T08:29:39.000Z,34.295,-81.238,1,2.6,ml,,,,,us,usp0000sph,2014-11-06T23:21:46.713Z,"5 km ENE of Jenkinsville, South Carolina",earthquake,,,,,reviewed,g,gs
1978-02-18T14:48:25.000Z,46.351,-74.11,7,4.1,mb,,,,,us,usp0000t14,2014-11-06T23:21:47.121Z,"9 km ENE of Saint-Donat-de-Montcalm, Canada",earthquake,,,,,reviewed,c,us
1978-02-23T05:24:33.000Z,46.36,-74.13,7,3.6,,,,,,us,usp0000t3r,2014-11-06T23:21:47.328Z,"8 km ENE of Saint-Donat-de-Montcalm, Canada",earthquake,,,,,reviewed,c,wes
1978-03-17T18:26:34.800Z,36.78,-80.737,15.9,2.8,mb_lg,,154,0.25181,0.4,se,se60018,2022-06-28T13:42:26.433Z,"1 km N of Hillsville, Virginia",earthquake,,5.8,,,reviewed,se,se
1978-03-22T15:52:26.700Z,36.201,-81.73,1,2.9,,,,,,us,usp0000ths,2014-11-06T23:21:47.775Z,"4 km ESE of Valle Crucis, North Carolina",earthquake,,,,,reviewed,v,bla
1978-03-31T14:27:57.000Z,43.1,-71.629,0,2.7,,,,,,us,usp0000tv8,2014-11-06T23:21:48.252Z,"8 km E of Weare, New Hampshire",earthquake,,,,,reviewed,t,wes
1978-04-05T14:45:49.500Z,43.855,-74.242,11,2.6,,,,,,us,usp0000txk,2014-11-06T23:21:48.324Z,"14 km SSW of Newcomb, New York",earthquake,,,,,reviewed,l,pal
1978-04-22T06:36:22.700Z,34.393,-81.316,0,2.6,,,,,,us,usp0000u7a,2014-11-06T23:21:48.668Z,"14 km N of Jenkinsville, South Carolina",earthquake,,,,,reviewed,g,bla
1978-04-26T19:30:23.300Z,39.697,-78.237,15,3.1,,,,,,us,usp0000u9r,2014-11-06T23:21:48.751Z,"4 km W of Hancock, Maryland",earthquake,,,,,reviewed,us,bla
1978-05-02T01:46:11.800Z,34.187,-82.738,10,2.8,md,,,,0,se,se60020,2022-06-28T13:42:28.734Z,"8 km WSW of Lowndesville, South Carolina",earthquake,,,,,reviewed,us,us
1978-06-30T20:13:43.600Z,41.075,-74.202,5,2.9,,,,,,us,usp0000vcp,2014-11-06T23:21:50.142Z,"5 km WSW of Mahwah, New Jersey",earthquake,,,,,reviewed,l,pal
1978-07-09T07:03:35.600Z,35.505,-82.798,9.9,2.8,md,,,,0,se,se60026,2022-06-28T13:43:21.561Z,"4 km SE of Canton, North Carolina",earthquake,,,,,reviewed,us,us
1978-07-16T06:39:37.800Z,39.924,-76.264,5,3.1,,,,,,us,usp0000vkq,2014-11-06T23:21:50.373Z,"3 km SW of Refton, Pennsylvania",earthquake,,,,,reviewed,us,wes
1978-07-26T04:17:08.700Z,40.4,-71.11,0,2.8,,,,,,us,usp0000vsp,2014-11-06T23:21:50.778Z,"93 km SSE of New Shoreham, Rhode Island",earthquake,,,,,reviewed,t,wes
1978-07-30T10:54:44.000Z,45.68,-74.44,18,3.8,,,,,,us,usp0000vv2,2014-11-06T23:21:51.018Z,"1 km WSW of Brownsburg-Chatham, Canada",earthquake,,,,,reviewed,c,wes
1978-08-10T21:12:11.600Z,40.459,-71.13,29,3.5,,,,,,us,usp0000w09,2014-11-06T23:21:51.359Z,"87 km SSE of New Shoreham, Rhode Island",earthquake,,,,,reviewed,t,wes
1978-08-21T08:47:10.900Z,44.523,-74.508,1,3.1,,,,,,us,usp0000w56,2014-11-06T23:21:51.585Z,"17 km S of Saint Regis Falls, New York",earthquake,,,,,reviewed,l,pal
1978-09-03T12:41:14.400Z,41.36,-71.37,0,2.8,,,,,,us,usp0000wc5,2014-11-06T23:21:51.824Z,"10 km SE of Narragansett Pier, Rhode Island",earthquake,,,,,reviewed,t,wes
1978-09-07T22:53:22.600Z,33.063,-80.209,10.1,2.6,md,,,,0.1,se,se60031,2022-06-28T13:43:29.582Z,"5 km NNW of Summerville, South Carolina",earthquake,,0.5,,,reviewed,us,us
1978-10-06T19:25:41.600Z,39.974,-76.514,5,3,,,,,,us,usp0000ww6,2020-09-18T23:08:09.171Z,"0 km ENE of East Prospect, Pennsylvania",earthquake,,,,,reviewed,us,pal
1978-10-30T09:16:14.100Z,33.032,-80.162,0.7,2.5,md,,,,0.1,se,se60035,2022-06-28T13:43:34.926Z,"1 km NE of Summerville, South Carolina",earthquake,,0.8,,,reviewed,us,us
1979-01-19T08:55:34.500Z,34.707,-82.953,1,2.8,,,,,,us,usp0000yga,2014-11-06T23:21:55.885Z,"2 km N of Seneca, South Carolina",earthquake,,,,,reviewed,us,gs
1979-01-27T23:55:15.000Z,33.047,-80.173,9.3,2.8,md,,,,0.2,se,se60043,2022-06-28T13:43:46.073Z,"3 km N of Summerville, South Carolina",earthquake,,1.2,,,reviewed,us,us
1979-01-29T06:35:46.200Z,44.819,-73.19,9,2.5,,,,,,us,usp0000yn5,2014-11-06T23:21:56.377Z,"6 km ESE of North Hero, Vermont",earthquake,,,,,reviewed,l,pal
1979-01-30T16:30:52.100Z,40.321,-74.264,5,3.5,,,,,,us,usp0000ynj,2014-11-06T23:21:56.422Z,"1 km WNW of Marlboro, New Jersey",earthquake,,,,,reviewed,l,pal
1979-02-23T10:23:57.200Z,40.803,-74.809,13,2.9,,,,,,us,usp0000yz8,2014-11-06T23:21:57.327Z,"3 km ESE of Beattystown, New Jersey",earthquake,,,,,reviewed,l,pal
1979-03-10T04:49:39.700Z,40.721,-74.504,3,3.1,,,,,,us,usp0000z8h,2014-11-06T23:21:58.172Z,"5 km E of Bernardsville, New Jersey",earthquake,,,,,reviewed,l,pal
1979-04-18T02:34:14.900Z,43.981,-69.8,0,3.8,mb,,,,,us,usp000103t,2020-09-18T23:08:26.305Z,"5 km NNE of North Bath, Maine",earthquake,,,,,reviewed,t,us
1979-04-23T00:05:46.400Z,43.03,-71.269,0,2.9,,,,,,us,usp0001081,2014-11-06T23:22:00.425Z,"5 km S of Candia, New Hampshire",earthquake,,,,,reviewed,t,pal
1979-05-26T21:58:30.000Z,46.339,-75.57,1,3.3,,,,,,us,usp00010x7,2014-11-06T23:22:01.544Z,"24 km SSW of Mont-Laurier, Canada",earthquake,,,,,reviewed,o,ott
1979-07-19T10:27:03.900Z,35.229,-84.825,10.1,2.9,md,,255,0.62953,0.3,se,se60045,2022-06-28T13:43:48.706Z,"5 km E of Hopewell, Tennessee",earthquake,,2.8,,,reviewed,se,nm
1979-07-28T23:29:09.500Z,43.26,-70.342,5,3.5,,,,,,us,usp0001245,2014-11-06T23:22:04.189Z,"15 km SE of Kennebunkport, Maine",earthquake,,,,,reviewed,us,gs
1979-08-11T02:11:56.200Z,32.978,-80.234,10.5,2.5,md,,,,0.1,se,se60046,2022-06-28T13:43:49.995Z,"6 km WSW of Centerville, South Carolina",earthquake,,1,,,reviewed,us,us
1979-08-13T05:18:56.800Z,35.2,-84.353,22.2,3.7,mb_lg,,76,0.64751,0.3,se,se60047,2022-06-28T13:43:56.007Z,"18 km N of Ducktown, Tennessee",earthquake,,1.8,,,reviewed,se,us
1979-08-26T01:31:45.000Z,34.929,-82.971,2,3.7,,,,,,us,usp00012mq,2018-06-04T20:43:45.000Z,"4 km N of Salem, South Carolina",earthquake,,,,,reviewed,us,bla
1979-09-06T20:38:16.300Z,35.298,-83.241,10,3.2,md,,315,,0.8,se,se60049,2022-06-28T13:44:02.572Z,"4 km W of Forest Hills, North Carolina",earthquake,,99,,,reviewed,us,us
1979-09-12T06:24:04.100Z,35.579,-83.941,27.1,3.2,mb_lg,,93,0.16188,0.2,se,se60050,2022-06-28T13:44:07.896Z,"19 km S of Maryville, Tennessee",earthquake,,1.4,,,reviewed,se,us
1979-10-08T23:20:10.100Z,34.314,-81.362,5,2.9,ml,,,,,us,usp00013aq,2014-11-06T23:22:06.043Z,"7 km NE of Pomaria, South Carolina",earthquake,,,,,reviewed,gl,gs
1979-10-29T20:27:47.300Z,35.354,-84.778,6.6,2.5,md,,226,0.74644,0.2,se,se60055,2022-06-28T13:44:28.234Z,"6 km NNW of Calhoun, Tennessee",earthquake,,2.8,,,reviewed,se,nm
1979-11-09T21:29:58.700Z,38.417,-82.869,5,3.6,mb_lg,,,1.79864,,se,se60059,2022-06-28T13:44:41.607Z,"11 km NE of Grayson, Kentucky",earthquake,,,,,reviewed,us,us
1979-12-07T05:43:34.400Z,33.006,-80.169,4.8,2.8,md,,,,0.1,se,se60061,2022-06-28T13:44:44.676Z,"1 km N of Centerville, South Carolina",earthquake,,0.7,,,reviewed,us,us
1979-12-30T14:15:11.600Z,41.14,-73.69,5,2.5,md,,,,,us,usp00014sp,2014-11-06T23:22:08.604Z,"0 km W of North Castle, New York",earthquake,,,,,reviewed,l,wes
1980-01-17T10:13:16.100Z,41.309,-73.928,3,2.9,,,,,,us,usp000151t,2014-11-06T23:24:16.730Z,"2 km NNW of Peekskill, New York",earthquake,,,,,reviewed,l,pal
1980-03-05T17:06:54.500Z,40.188,-75.157,5,3.5,,,,,,us,usp00015um,2014-11-06T23:24:18.726Z,"2 km ENE of Maple Glen, Pennsylvania",earthquake,,,,,reviewed,us,pal
1980-03-11T06:00:26.000Z,40.155,-75.103,5,3.7,,,,,,us,usp00015yh,2014-11-06T23:24:18.947Z,"1 km NE of Willow Grove, Pennsylvania",earthquake,,,,,reviewed,us,pal
1980-04-09T20:47:24.000Z,34.848,-79.941,,2.8,md,,353,,,se,se60067,2022-06-28T13:44:56.957Z,"5 km NE of McFarlan, North Carolina",earthquake,,,,,reviewed,us,us
1980-04-21T20:44:05.700Z,35.76,-84.13,5,2.8,md,,,,,se,se60069,2022-06-28T13:45:04.100Z,"0 km E of Friendsville, Tennessee",earthquake,,,,,reviewed,us,nm
